"Institution","Term","Session","Course ID","Subject","Catalog#","Section","Component","Class Stat","Class Title","Class#","Total Enrollment"
"QNS01","1082","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","31746","22"
"QNS01","1082","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","31747","30"
"QNS01","1086","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","7274","14"
"QNS01","1089","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","34313","18"
"QNS01","1089","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","34314","30"
"QNS01","1092","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","33045","22"
"QNS01","1092","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","33046","28"
"QNS01","1099","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","35596","23"
"QNS01","1099","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","35597","27"
"QNS01","1099","1","003006","ACCT"," 100","03","LEC","Active","FIN & MGR ACCT","35598","23"
"QNS01","1102","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","29974","24"
"QNS01","1102","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","29975","27"
"QNS01","1102","1","003006","ACCT"," 100","03","LEC","Active","FIN & MGR ACCT","29976","30"
"QNS01","1109","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","39638","29"
"QNS01","1109","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","39639","29"
"QNS01","1109","1","003006","ACCT"," 100","03","LEC","Active","FIN & MGR ACCT","39640","31"
"QNS01","1112","1","003006","ACCT"," 100","1","LEC","Active","FIN & MGR ACCT","1005","28"
"QNS01","1112","1","003006","ACCT"," 100","2","LEC","Active","FIN & MGR ACCT","1007","32"
"QNS01","1112","1","003006","ACCT"," 100","3","LEC","Active","FIN & MGR ACCT","1009","30"
"QNS01","1116","6W2","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","1896","12"
"QNS01","1119","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","2909","24"
"QNS01","1119","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","2910","26"
"QNS01","1119","1","003006","ACCT"," 100","03","LEC","Active","FIN & MGR ACCT","2908","32"
"QNS01","1082","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","31748","50"
"QNS01","1082","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","31749","40"
"QNS01","1082","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","31750","94"
"QNS01","1082","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","31751","46"
"QNS01","1082","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","31752","40"
"QNS01","1082","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","31753","50"
"QNS01","1082","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","31754","35"
"QNS01","1082","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","31755","39"
"QNS01","1082","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","31756","34"
"QNS01","1082","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","31757","37"
"QNS01","1082","1","003007","ACCT"," 101","11","LEC","Active","INT TH & PR 1","31758","31"
"QNS01","1082","1","003007","ACCT"," 101","12","LEC","Active","INT TH & PR 1","31759","32"
"QNS01","1082","1","003007","ACCT"," 101","13","LEC","Active","INT TH & PR 1","31760","37"
"QNS01","1086","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","7275","44"
"QNS01","1086","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","7276","32"
"QNS01","1086","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","7277","34"
"QNS01","1089","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","34315","52"
"QNS01","1089","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","34316","39"
"QNS01","1089","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","34317","39"
"QNS01","1089","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","34318","36"
"QNS01","1089","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","34319","95"
"QNS01","1089","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","34320","48"
"QNS01","1089","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","34321","45"
"QNS01","1089","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","34322","36"
"QNS01","1089","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","34323","34"
"QNS01","1089","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","34324","35"
"QNS01","1089","1","003007","ACCT"," 101","11","LEC","Active","INT TH & PR 1","34325","33"
"QNS01","1089","1","003007","ACCT"," 101","12","LEC","Active","INT TH & PR 1","34326","29"
"QNS01","1092","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","33047","68"
"QNS01","1092","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","33048","86"
"QNS01","1092","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","33049","37"
"QNS01","1092","1","003007","ACCT"," 101","04","LEC","Cancelled","INT TH & PR 1","33050","0"
"QNS01","1092","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","33051","51"
"QNS01","1092","1","003007","ACCT"," 101","06","LEC","Cancelled","INT TH & PR 1","33052","0"
"QNS01","1092","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","33053","41"
"QNS01","1092","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","33054","52"
"QNS01","1092","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","33055","39"
"QNS01","1092","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","33056","43"
"QNS01","1092","1","003007","ACCT"," 101","11","LEC","Active","INT TH & PR 1","33057","37"
"QNS01","1092","1","003007","ACCT"," 101","12","LEC","Active","INT TH & PR 1","33058","25"
"QNS01","1092","1","003007","ACCT"," 101","13","LEC","Active","INT TH & PR 1","33059","26"
"QNS01","1092","1","003007","ACCT"," 101","14","LEC","Active","INT TH & PR 1","33060","92"
"QNS01","1096","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","7153","41"
"QNS01","1096","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","7154","34"
"QNS01","1096","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","7155","27"
"QNS01","1099","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","35599","50"
"QNS01","1099","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","35600","76"
"QNS01","1099","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","35601","31"
"QNS01","1099","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","35602","34"
"QNS01","1099","1","003007","ACCT"," 101","05","LEC","Cancelled","INT TH & PR 1","35603","0"
"QNS01","1099","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","35604","46"
"QNS01","1099","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","35605","55"
"QNS01","1099","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","35606","51"
"QNS01","1099","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","35607","37"
"QNS01","1099","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","35608","26"
"QNS01","1099","1","003007","ACCT"," 101","11","LEC","Active","INT TH & PR 1","35609","41"
"QNS01","1099","1","003007","ACCT"," 101","12","LEC","Active","INT TH & PR 1","35610","26"
"QNS01","1099","1","003007","ACCT"," 101","13","LEC","Active","INT TH & PR 1","35611","19"
"QNS01","1099","1","003007","ACCT"," 101","14","LEC","Cancelled","INT TH & PR 1","35612","0"
"QNS01","1099","1","003007","ACCT"," 101","15","LEC","Active","INT TH & PR 1","35613","49"
"QNS01","1102","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","29977","49"
"QNS01","1102","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","29978","76"
"QNS01","1102","1","003007","ACCT"," 101","03","LEC","Cancelled","INT TH & PR 1","29979","0"
"QNS01","1102","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","29980","39"
"QNS01","1102","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","29981","39"
"QNS01","1102","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","29982","58"
"QNS01","1102","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","29983","40"
"QNS01","1102","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","29984","36"
"QNS01","1102","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","29985","18"
"QNS01","1102","1","003007","ACCT"," 101","10","LEC","Cancelled","INT TH & PR 1","29986","0"
"QNS01","1102","1","003007","ACCT"," 101","11","LEC","Active","INT TH & PR 1","29987","32"
"QNS01","1102","1","003007","ACCT"," 101","12","LEC","Active","INT TH & PR 1","29988","35"
"QNS01","1102","1","003007","ACCT"," 101","13","LEC","Active","INT TH & PR 1","29989","14"
"QNS01","1102","1","003007","ACCT"," 101","14","LEC","Active","INT TH & PR 1","40338","31"
"QNS01","1106","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","9416","40"
"QNS01","1106","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","9417","16"
"QNS01","1106","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","9418","27"
"QNS01","1109","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","39641","63"
"QNS01","1109","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","39642","30"
"QNS01","1109","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","39643","49"
"QNS01","1109","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","39644","49"
"QNS01","1109","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","39645","40"
"QNS01","1109","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","39646","41"
"QNS01","1109","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","39647","39"
"QNS01","1109","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","39648","43"
"QNS01","1109","1","003007","ACCT"," 101","09","LEC","Cancelled","INT TH & PR 1","39649","0"
"QNS01","1109","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","39650","27"
"QNS01","1109","1","003007","ACCT"," 101","11","LEC","Active","INT TH & PR 1","39651","38"
"QNS01","1109","1","003007","ACCT"," 101","12","LEC","Active","INT TH & PR 1","39652","31"
"QNS01","1109","1","003007","ACCT"," 101","13","LEC","Active","INT TH & PR 1","39653","8"
"QNS01","1112","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","1010","69"
"QNS01","1112","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","1011","37"
"QNS01","1112","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","1012","64"
"QNS01","1112","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","1014","46"
"QNS01","1112","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","1016","53"
"QNS01","1112","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","1017","40"
"QNS01","1112","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","1020","42"
"QNS01","1112","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","1022","37"
"QNS01","1112","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","1023","41"
"QNS01","1112","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","1025","39"
"QNS01","1112","1","003007","ACCT"," 101","11","LEC","Active","INT TH & PR 1","1027","15"
"QNS01","1116","4W1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","1945","38"
"QNS01","1116","6W2","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","1960","33"
"QNS01","1116","6W2","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","1961","15"
"QNS01","1119","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","3866","63"
"QNS01","1119","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","3870","34"
"QNS01","1119","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","3871","52"
"QNS01","1119","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","3877","101"
"QNS01","1119","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","3924","38"
"QNS01","1119","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","3926","29"
"QNS01","1119","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","3938","54"
"QNS01","1119","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","3976","40"
"QNS01","1119","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","4035","32"
"QNS01","1119","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","4042","46"
"QNS01","1119","1","003007","ACCT"," 101","11","LEC","Cancelled","INT TH & PR 1","4049","0"
"QNS01","1082","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","31761","32"
"QNS01","1082","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","31762","37"
"QNS01","1082","1","003008","ACCT"," 102","03","LEC","Active","INT TH & PR 2","31763","53"
"QNS01","1082","1","003008","ACCT"," 102","04","LEC","Active","INT TH & PR 2","31764","48"
"QNS01","1082","1","003008","ACCT"," 102","05","LEC","Active","INT TH & PR 2","31765","31"
"QNS01","1082","1","003008","ACCT"," 102","06","LEC","Active","INT TH & PR 2","31766","32"
"QNS01","1082","1","003008","ACCT"," 102","07","LEC","Active","INT TH & PR 2","31767","39"
"QNS01","1082","1","003008","ACCT"," 102","08","LEC","Active","INT TH & PR 2","31768","35"
"QNS01","1082","1","003008","ACCT"," 102","09","LEC","Active","INT TH & PR 2","31769","34"
"QNS01","1082","1","003008","ACCT"," 102","10","LEC","Active","INT TH & PR 2","31770","32"
"QNS01","1082","1","003008","ACCT"," 102","11","LEC","Active","INT TH & PR 2","31771","37"
"QNS01","1086","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","7278","50"
"QNS01","1086","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","7279","46"
"QNS01","1089","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","34327","42"
"QNS01","1089","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","34328","33"
"QNS01","1089","1","003008","ACCT"," 102","03","LEC","Active","INT TH & PR 2","34329","34"
"QNS01","1089","1","003008","ACCT"," 102","04","LEC","Active","INT TH & PR 2","34330","35"
"QNS01","1089","1","003008","ACCT"," 102","05","LEC","Active","INT TH & PR 2","34331","51"
"QNS01","1089","1","003008","ACCT"," 102","06","LEC","Active","INT TH & PR 2","34332","38"
"QNS01","1089","1","003008","ACCT"," 102","07","LEC","Active","INT TH & PR 2","34333","54"
"QNS01","1089","1","003008","ACCT"," 102","08","LEC","Active","INT TH & PR 2","34334","30"
"QNS01","1089","1","003008","ACCT"," 102","09","LEC","Active","INT TH & PR 2","34335","31"
"QNS01","1089","1","003008","ACCT"," 102","10","LEC","Active","INT TH & PR 2","34336","32"
"QNS01","1089","1","003008","ACCT"," 102","11","LEC","Active","INT TH & PR 2","34337","32"
"QNS01","1092","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","33061","45"
"QNS01","1092","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","33062","49"
"QNS01","1092","1","003008","ACCT"," 102","03","LEC","Active","INT TH & PR 2","33063","91"
"QNS01","1092","1","003008","ACCT"," 102","04","LEC","Cancelled","INT TH & PR 2","33064","0"
"QNS01","1092","1","003008","ACCT"," 102","05","LEC","Active","INT TH & PR 2","33065","18"
"QNS01","1092","1","003008","ACCT"," 102","06","LEC","Active","INT TH & PR 2","33066","32"
"QNS01","1092","1","003008","ACCT"," 102","07","LEC","Active","INT TH & PR 2","33067","49"
"QNS01","1092","1","003008","ACCT"," 102","08","LEC","Active","INT TH & PR 2","33068","55"
"QNS01","1092","1","003008","ACCT"," 102","09","LEC","Active","INT TH & PR 2","33069","34"
"QNS01","1092","1","003008","ACCT"," 102","10","LEC","Active","INT TH & PR 2","33070","25"
"QNS01","1092","1","003008","ACCT"," 102","11","LEC","Active","INT TH & PR 2","33071","31"
"QNS01","1096","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","7156","51"
"QNS01","1096","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","7157","46"
"QNS01","1099","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","35614","44"
"QNS01","1099","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","35615","49"
"QNS01","1099","1","003008","ACCT"," 102","03","LEC","Active","INT TH & PR 2","35616","58"
"QNS01","1099","1","003008","ACCT"," 102","04","LEC","Active","INT TH & PR 2","35617","12"
"QNS01","1099","1","003008","ACCT"," 102","05","LEC","Active","INT TH & PR 2","35618","29"
"QNS01","1099","1","003008","ACCT"," 102","06","LEC","Active","INT TH & PR 2","35619","42"
"QNS01","1099","1","003008","ACCT"," 102","07","LEC","Active","INT TH & PR 2","35620","44"
"QNS01","1099","1","003008","ACCT"," 102","08","LEC","Active","INT TH & PR 2","35621","43"
"QNS01","1099","1","003008","ACCT"," 102","09","LEC","Active","INT TH & PR 2","35622","13"
"QNS01","1099","1","003008","ACCT"," 102","10","LEC","Active","INT TH & PR 2","35623","42"
"QNS01","1099","1","003008","ACCT"," 102","11","LEC","Active","INT TH & PR 2","35624","21"
"QNS01","1102","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","29990","38"
"QNS01","1102","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","29991","40"
"QNS01","1102","1","003008","ACCT"," 102","03","LEC","Active","INT TH & PR 2","29992","67"
"QNS01","1102","1","003008","ACCT"," 102","04","LEC","Active","INT TH & PR 2","29993","17"
"QNS01","1102","1","003008","ACCT"," 102","05","LEC","Active","INT TH & PR 2","29994","31"
"QNS01","1102","1","003008","ACCT"," 102","06","LEC","Active","INT TH & PR 2","29995","27"
"QNS01","1102","1","003008","ACCT"," 102","07","LEC","Active","INT TH & PR 2","29996","47"
"QNS01","1102","1","003008","ACCT"," 102","08","LEC","Active","INT TH & PR 2","29997","47"
"QNS01","1102","1","003008","ACCT"," 102","09","LEC","Active","INT TH & PR 2","29998","14"
"QNS01","1102","1","003008","ACCT"," 102","10","LEC","Active","INT TH & PR 2","29999","43"
"QNS01","1102","1","003008","ACCT"," 102","11","LEC","Active","INT TH & PR 2","30000","30"
"QNS01","1106","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","9419","46"
"QNS01","1106","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","9420","49"
"QNS01","1109","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","39654","60"
"QNS01","1109","1","003008","ACCT"," 102","02","LEC","Cancelled","INT TH & PR 2","39655","0"
"QNS01","1109","1","003008","ACCT"," 102","03","LEC","Active","INT TH & PR 2","39656","19"
"QNS01","1109","1","003008","ACCT"," 102","04","LEC","Active","INT TH & PR 2","39657","41"
"QNS01","1109","1","003008","ACCT"," 102","05","LEC","Active","INT TH & PR 2","39658","40"
"QNS01","1109","1","003008","ACCT"," 102","06","LEC","Active","INT TH & PR 2","39659","48"
"QNS01","1109","1","003008","ACCT"," 102","07","LEC","Active","INT TH & PR 2","39660","34"
"QNS01","1109","1","003008","ACCT"," 102","08","LEC","Active","INT TH & PR 2","39661","31"
"QNS01","1109","1","003008","ACCT"," 102","09","LEC","Cancelled","INT TH & PR 2","39662","0"
"QNS01","1109","1","003008","ACCT"," 102","10","LEC","Active","INT TH & PR 2","39663","18"
"QNS01","1109","1","003008","ACCT"," 102","11","LEC","Active","INT TH & PR 2","39664","26"
"QNS01","1112","1","003008","ACCT"," 102","01","LEC","Active","INT TH & PR 2","1029","42"
"QNS01","1112","1","003008","ACCT"," 102","02","LEC","Active","INT TH & PR 2","1032","45"
"QNS01","1112","1","003008","ACCT"," 102","03","LEC","Active","INT TH & PR 2","1033","37"
"QNS01","1112","1","003008","ACCT"," 102","04","LEC","Active","INT TH & PR 2","1035","36"
"QNS01","1112","1","003008","ACCT"," 102","05","LEC","Active","INT TH & PR 2","1036","31"
"QNS01","1112","1","003008","ACCT"," 102","06","LEC","Active","INT TH & PR 2","1037","39"
"QNS01","1112","1","003008","ACCT"," 102","07","LEC","Active","INT TH & PR 2","1039","12"
"QNS01","1112","1","003008","ACCT"," 102","08","LEC","Active","INT TH & PR 2","1040","38"
"QNS01","1112","1","003008","ACCT"," 102","09","LEC","Active","INT TH & PR 2","1042","15"
