"Rqrmnt","Eff Date","Line","Dtl Seq","Key","Dtl Type","Incl Mode","Recall","Interp","Rq Group","Rqrmnt","Line","Ref Nbr","Ref Data","Crse Lst","Institution","Career","Cond Code","Operator","Value","Ignore msng tgt","Test ID","Component","Score","Max Age","Select Method","Crse Attr","CrsAtr Val","Condition"
"000002616","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001298","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002617","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001299","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002618","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001300","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002619","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001301","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002620","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001302","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002621","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001303","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002622","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000000239","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002623","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001305","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002624","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001306","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002625","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001307","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002626","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001308","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002627","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001309","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002628","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001310","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002629","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001311","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002631","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001312","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002632","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001313","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002633","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001314","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002652","07/22/2013","0010","1","0001","CLST","","","A","","","","0","","000001315","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002670","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001317","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002671","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001318","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
